PA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F0,LABEL
35,0.143031,0.162987,0.23977,1.99231,0.257637,0.713091,0.197247,1.345998,-0.404925,-0.313646,A
36,-0.093769,-0.640653,0.488705,0.019746,0.23344,-0.036444,-2.61193,0.863789,0.441814,-2.177771,G
37,0.03463,-0.204824,0.130718,0.511802,0.250316,-0.453732,0.143844,1.398613,0.932053,-0.336243,A
38,0.339692,-2.287109,-0.002991,-0.581291,0.026111,-0.270592,0.797519,0.077463,0.102621,-0.503019,A
39,0.377316,0.290742,0.341308,-0.334373,0.176439,-0.586903,0.225483,0.314208,-0.05735,-0.69198,A
40,0.161008,0.218141,0.502927,1.16778,0.24816,0.286042,0.530987,-0.824869,-1.193646,0.351266,A
41,0.64135,-0.341306,0.055806,-0.619357,0.955533,-0.880407,-0.796329,-0.019849,1.217903,-0.083073,I
42,0.019334,0.340887,-3.210528,-0.559133,-0.721442,0.600054,1.027993,0.11329,0.104679,0.076289,A
43,-0.234724,-0.111214,0.387464,0.166229,0.153639,0.25331,0.231337,-0.176254,0.255563,0.41976,D
44,0.129725,0.377891,0.107571,-1.294058,-0.721833,1.029598,0.216124,-0.755303,0.320481,1.256599,G
45,0.149576,-0.072371,0.284157,0.134377,0.078248,0.263706,-0.005314,0.196717,0.014858,-0.111181,A
46,0.140023,0.00477,0.210274,0.939312,0.251209,-0.082303,0.408268,0.734536,0.295896,0.414582,A
47,0.018659,0.311218,0.037613,1.069112,0.238185,1.363975,0.051579,0.397651,0.045088,1.264179,X
48,-0.059249,-0.035014,0.405167,0.371982,-1.064291,1.608916,0.492557,-0.518835,-0.105221,1.063089,A
49,-0.047233,-0.277192,0.394195,0.300356,0.261718,0.154551,0.167717,0.270157,-0.075487,0.237234,F
50,-0.022294,0.126407,0.202081,0.303336,0.261718,0.258185,0.125729,0.432634,0.016767,0.077343,A
51,0.102509,0.313188,0.165654,-0.198295,0.229319,0.092992,0.699595,-0.756022,-0.347865,0.179168,A
52,-0.076268,0.008078,0.365324,0.744247,0.164667,0.354406,0.131984,0.532263,1.23036,0.388904,X
53,-0.058052,-0.095291,0.439521,-1.122129,0.261718,-0.095636,0.258223,1.289,0.685978,0.131391,A
54,-0.277055,0.038511,0.42056,3.987152,0.17234,1.498886,-0.28662,2.37795,0.32463,1.024784,X
55,0.218577,-2.078604,0.370416,-0.42429,0.148942,-1.313399,-2.910207,-1.580325,-1.994229,-2.440578,A
56,0.253215,-2.357197,0.333976,-0.040865,-0.001301,0.000886,0.183675,0.521148,0.087904,-0.65683,A
57,-0.277055,-0.251983,-3.203415,1.957926,0.261718,1.582703,-0.031723,1.992825,1.250975,1.010723,X
58,-3.474875,0.110463,-3.177065,-3.437503,-3.236747,-1.005818,-11.925403,1.095652,-2.589902,-0.767115,E
59,0.804133,-0.164105,0.057056,0.719927,0.897301,-1.110004,-1.244438,0.565785,1.510708,0.127478,I
60,0.046856,-0.220966,0.276397,-0.007022,0.255193,-0.390929,0.35021,0.523912,-0.186708,-0.370533,A
61,0.013214,-0.247934,-0.052244,0.69675,-0.009387,-0.216602,-0.024276,-1.289208,-1.50769,-0.001815,A
62,-0.763417,-0.154712,0.292718,0.23964,0.169661,-0.014148,0.663311,-0.651919,0.614859,0.085318,D
63,0.010357,-0.244996,0.442642,-0.163819,0.231602,-0.039432,-0.043558,0.273154,-0.029426,0.064536,A
64,-0.309948,0.144143,0.407323,-0.06263,-1.439025,0.061349,-0.459506,0.576635,0.322402,0.56535,A
65,-2.215039,-0.29909,0.352988,0.054854,-1.704602,1.478527,0.501056,-0.866095,-0.247733,1.355354,A
66,0.002278,0.399315,0.121738,0.443614,0.231159,0.000273,0.591312,0.309409,0.310784,-0.15585,G
67,-0.00218,0.203471,0.396136,-0.789203,0.241051,-0.636893,0.533663,0.814158,0.665675,-0.520139,H
68,0.281615,-0.383462,0.082567,0.085754,0.976743,-1.280518,-1.222285,-0.583347,1.003179,0.001026,I
69,0.109818,-0.015563,0.163597,-0.61556,0.240039,0.090868,0.087556,0.938053,0.461699,0.551951,A
70,-0.242375,0.447707,0.140427,0.232676,0.263096,-0.107588,0.388728,-0.609787,-0.402915,-0.158008,A
71,-3.498799,0.474322,0.149811,-5.440122,-0.006417,-0.677085,0.212752,0.699889,-2.302427,-0.267751,A
72,0.316621,-0.348788,-0.008729,-2.531905,0.164103,-0.651924,0.122239,-0.163304,-1.117156,-0.613806,X
73,0.066372,-0.342985,0.215643,1.298469,0.235562,-0.845519,-0.151383,-2.043709,-2.079647,-0.732362,A
74,-2.212548,-0.204246,3.92372,-1.591454,-2.50728,-3.371213,-3.102936,1.90712,-3.165448,-4.625482,A
75,0.144511,-0.12613,0.03052,0.751026,-1.264047,1.137114,0.635879,0.463793,-0.108499,0.845004,A
76,0.022968,-0.356394,0.093517,-0.582728,0.249146,-0.701902,-0.140387,-0.626578,-0.132284,-0.611793,F
77,-3.498799,0.117208,0.951429,-1.829483,-4.922215,-1.881919,0.240241,-1.517652,-3.803829,-1.232618,A
78,-3.498799,0.751578,0.138776,0.70672,-4.922215,-0.101202,0.379669,1.243848,-2.051185,-0.525062,A
79,-0.014548,0.344893,0.076609,-0.44647,-0.894769,0.371692,0.101997,-1.188448,0.095523,0.690186,G
80,0.045525,0.135886,0.216356,-0.046961,0.162519,1.51646,0.186929,-1.420148,-0.323632,1.280056,A
81,0.584045,-0.06662,-3.210528,-2.841317,0.261718,0.019502,-0.298709,-0.415607,-0.605343,-0.48825,A
82,-0.153333,0.058207,0.345512,0.082848,0.261718,2.358355,0.458635,-2.001004,-0.961199,1.869154,A
83,0.149006,-1.782507,-3.177849,1.24284,-2.418845,0.702045,1.048055,-0.55312,1.120085,0.140698,E
84,-0.918713,0.065566,0.461732,2.072865,0.167942,1.657624,0.778139,0.522741,2.1311,0.763217,X
85,0.203032,-2.308981,0.209707,0.707588,0.250716,0.22911,0.4873,0.251225,-0.054346,0.192745,A
86,0.518083,-0.177422,0.089112,1.241774,0.968131,-0.088289,-0.425946,1.029213,1.22728,0.430798,X
87,0.250213,-0.32123,0.346094,-0.143397,0.236094,0.1092,-0.078966,0.251732,0.339408,-0.094966,F
88,-0.004961,0.576932,0.450937,0.298945,0.261718,0.287943,0.155202,-0.092825,-0.209715,0.147893,F
89,-2.445763,4.925647,0.332423,0.058831,-2.426847,-0.560768,0.09641,2.447486,-3.595004,-0.436782,A
90,-0.064344,0.379453,0.098875,0.161582,0.261718,-0.160397,0.200542,0.150661,-0.295302,-0.238051,F
91,-0.567916,-0.021403,-3.210528,0.620896,0.261718,0.246765,0.343168,0.909592,0.002258,0.546213,W
92,-0.161465,-0.187411,-3.188501,-0.902408,0.167525,-0.712017,-0.551475,-1.196959,0.439683,0.37068,F
93,0.056202,-0.25513,0.433767,-0.185213,0.171225,1.456931,-0.246091,-0.629039,-0.676269,0.995755,F
94,0.24197,-0.198612,0.167314,0.130603,0.14941,0.586948,0.472788,0.407096,0.313976,0.18555,A
95,-0.06886,0.364027,0.010553,-0.224789,0.245979,0.263676,0.532612,1.269452,0.699562,0.323515,F
96,-0.250729,-0.880529,0.364479,-0.048959,0.252638,1.772652,0.776518,-1.707396,-1.435007,1.316293,A
97,-0.113875,0.272473,0.00852,0.222121,0.261718,0.304395,0.523053,0.002607,0.58374,0.374044,A
98,-0.214121,0.343287,0.173765,0.716926,0.105385,0.32136,0.363683,0.351032,0.807824,0.305307,D
99,0.267986,-0.208197,0.123905,0.677487,0.254208,-0.497937,0.391179,0.809804,0.151985,-0.458781,A
100,0.397613,-0.264434,0.3539,0.631777,-1.267833,0.07804,0.29265,0.624721,-0.04373,0.373898,A
101,-0.14331,-0.037009,-0.042341,0.853753,0.262843,0.900968,0.170294,0.185175,-0.348155,0.814212,A
102,-0.194424,0.99107,-2.173767,-0.171613,0.253093,-0.200252,-0.241538,1.290769,0.91546,-0.246295,E
103,-0.191069,-0.344753,0.430118,0.229816,-0.690715,-0.969442,-0.005215,1.493263,1.022468,-0.797381,E
104,0.393147,-0.328282,0.133396,0.101889,0.976743,-1.441032,-0.410825,-0.593584,0.689528,-0.773344,I
105,0.194308,-0.99826,0.356608,-0.091871,0.24079,-0.005296,0.242463,0.657712,0.612161,0.041512,A
106,0.112721,-0.140459,-0.001491,-0.235297,0.261718,-1.115642,0.677078,0.309974,1.009797,-0.787321,G
107,-0.257906,-0.343627,0.224873,-0.206988,0.185399,3.600137,-0.014223,-1.691077,-1.469573,3.002391,A
108,0.197444,-0.135575,0.291272,-0.869931,0.261718,-1.182638,0.045494,-0.328371,-0.223136,-0.918018,F
109,0.217908,0.075009,0.420147,-0.764819,0.236999,0.28148,0.141295,0.344622,0.094337,-0.132742,F
110,0.0602,0.390642,1.334816,-1.262506,-0.185173,0.370946,0.143443,1.727276,0.322707,-0.534962,E
111,-0.38658,-0.215013,0.464263,0.910256,0.153575,1.004018,-0.294237,5.1e-05,-0.67728,0.963178,D
112,0.06554,-0.121342,0.160159,-0.748391,0.170148,1.628055,0.540493,-1.0969,-0.843877,0.968086,H
113,-0.314168,-0.175601,0.133608,0.687743,0.155656,-0.073961,-0.05825,0.820006,0.625278,-0.063172,C
114,0.038868,0.397305,0.072924,0.510085,0.230325,0.52165,0.173843,-0.252244,-0.129655,0.626277,F
115,-0.315109,0.111568,0.325002,0.703896,0.175001,0.466769,0.520644,0.586416,0.427373,0.563275,A
116,1.143138,-0.218193,-0.013387,-0.500633,0.078672,-0.555024,0.410634,-0.104929,-0.396291,-0.407092,A
117,0.07533,0.311878,0.112411,-0.046214,0.240824,-0.254031,-0.112326,-0.695331,-0.753996,-0.25489,G
118,0.11518,-0.325301,0.364167,-0.940962,0.231568,0.126214,0.693186,-1.269361,-0.543864,0.120779,E
119,0.067637,0.175301,0.342621,0.090538,0.232887,0.512685,-0.139462,0.188724,0.39607,0.288779,A
120,-0.024382,-0.220558,0.350529,1.283064,0.17234,0.900797,0.439337,0.652181,1.933845,1.062026,X
121,0.376016,-1.227053,-0.002531,-0.977123,0.150396,1.383665,0.29973,1.10271,1.707684,-0.052925,I
122,0.18952,0.693678,0.157205,-1.112102,0.108086,0.326125,0.10367,1.750677,-0.049501,1.255828,A
123,0.164753,0.130558,0.332775,0.327018,0.261718,1.195946,-0.146984,-0.453651,-0.198197,0.643356,A
124,0.01992,-0.615349,0.348158,-0.205591,0.26819,1.071231,-0.037494,-1.170605,-0.433352,1.107893,A
125,0.300157,0.668973,0.069389,0.69689,0.169453,-0.127923,-0.089823,0.719114,-0.408247,-0.184786,A
126,0.194457,0.836692,-0.038467,0.121661,0.243125,-0.810947,0.128023,0.267233,-0.134026,-0.846345,F
127,0.051295,-0.529553,0.097211,-0.619513,0.175388,3.148882,0.069659,-1.670439,-1.523909,2.850366,G
128,0.227625,0.304772,0.17327,0.676128,0.241523,1.497609,1.163557,-0.913205,-0.095925,1.142142,F
129,-0.304,0.329177,0.139575,-0.077507,0.179976,0.60019,-0.306716,-1.198727,-0.478479,1.117598,F
130,0.556094,-0.024053,0.208567,-0.536452,0.974949,-0.077741,-1.80151,-0.502809,0.461795,0.706509,I
131,0.099661,0.389854,0.185562,-0.36777,0.261718,-0.055952,0.52541,0.378603,-0.239135,-0.248064,A
132,-0.174334,0.03563,-3.210528,-0.540486,0.076527,0.589947,0.344242,0.247822,0.107104,0.471874,D
133,0.154598,-0.152056,-3.176597,-1.32684,-0.186225,-0.056643,0.414839,-0.535625,-0.348913,0.219948,A
134,0.323358,-0.24651,0.310438,-0.66952,0.176063,-0.829422,0.112316,0.599859,0.259819,-0.932187,C
135,0.143489,-0.398767,0.314026,0.222019,0.261718,0.807751,0.49611,0.102192,0.134143,0.528675,A
136,0.023905,0.073835,0.53825,-2.437112,0.237906,-1.047332,0.652413,-2.866207,-0.939863,-1.733022,A
137,0.233383,-0.123342,0.410894,0.392562,0.252609,-0.504572,0.658752,0.841178,0.112166,-0.65091,F
138,0.049753,-0.07358,0.30951,0.350952,0.2429,-1.105966,0.339519,1.49886,1.123369,-0.967388,H
139,-0.020443,0.682601,5.115692,-0.110165,-1.267406,0.033412,0.401941,0.995148,0.97825,-0.118728,G
140,0.030585,0.381672,-3.210528,-0.550499,-0.721442,0.05689,0.058567,0.116299,0.099183,-0.162508,A
141,0.125914,-0.242382,0.478675,-0.214603,0.105319,0.020099,0.517749,-0.120186,0.079635,-0.185372,A
142,0.186628,-0.246825,0.046755,0.326819,0.171501,-0.159797,0.454102,0.553881,0.087992,-0.112634,F
143,-0.24267,0.389392,0.007021,0.415924,0.231795,1.462856,0.72909,0.981876,0.576594,1.054021,E
144,-0.052489,-0.052474,0.353585,0.794235,0.16274,-0.479961,0.204722,0.903911,2.332137,-0.354476,X
145,0.21805,0.369608,0.418396,-1.727618,0.076607,1.319802,0.792515,0.244359,-0.405156,0.814349,A
146,0.028677,-0.167364,0.402795,-0.592226,0.22852,0.140278,0.24524,0.636583,0.460762,0.034055,F
147,-0.06649,0.146288,-2.957266,-0.644316,0.069784,-0.038357,-0.139023,-1.151777,-0.119437,0.6202,E
148,0.307388,-0.302822,0.069321,0.139366,0.976743,-0.182034,-0.862445,-0.834186,0.883244,0.663692,I
149,0.156091,0.513113,-0.050038,0.692677,0.268026,-0.257833,-0.057756,-1.313197,-1.221068,-0.044653,A
150,0.085629,-0.016592,0.089744,0.379482,0.165738,0.966252,0.362175,0.252383,0.267594,0.20527,F
151,-0.33641,0.006067,0.259132,-0.246757,0.243681,0.19475,0.136201,0.963653,1.272545,0.887772,E
152,-0.144343,0.686483,0.405849,1.971945,0.606902,1.863434,-1.346729,0.115313,1.328192,2.403657,Y
153,0.252303,0.099825,0.281363,0.364857,0.261718,-0.841199,0.457972,0.957747,0.567475,-0.853343,H
154,-0.163617,0.372914,0.200202,1.222489,0.234254,1.227282,0.051258,0.292869,0.634006,1.071016,A
155,0.012889,-0.104385,-3.210528,1.048445,0.266261,0.950676,-0.182123,0.082171,-0.75032,0.728264,A
156,0.119709,0.474378,-0.050271,-0.908972,0.248775,-1.166861,0.617887,-0.117778,0.482722,-1.208361,G
157,0.102456,-0.210261,0.383296,-0.449917,0.261718,-1.202806,0.327815,-0.696441,0.422506,-0.938289,F
158,0.156262,0.301565,-0.013252,0.103794,0.237213,-0.491452,0.36707,0.297296,0.247196,-0.670822,A
159,-0.109304,-1.252365,0.716338,1.035541,0.732864,-0.629976,-1.294763,-0.314383,-0.113445,-0.340417,Y
160,0.139172,0.036624,0.349539,0.301495,-0.130067,1.146084,0.229307,0.119093,-0.100735,0.870529,A
161,0.12519,-0.393023,0.350078,0.201435,0.253852,-0.794686,0.260794,-0.011228,0.009861,-0.661634,A
162,-2.561412,0.066904,0.280833,-3.04247,0.085861,-2.441539,-0.029688,0.574178,-3.138888,-2.271365,H
163,-0.109878,0.198662,0.227825,0.1525,0.229524,1.235131,-0.021955,-0.44558,0.56557,0.926692,A
164,0.205366,-0.177801,0.326618,0.470822,0.261718,0.420757,0.770038,0.060402,0.268228,0.07652,A
165,-2.523635,-0.346197,-2.349878,-0.775688,0.17234,-0.4931,0.15298,0.317738,-0.391678,-0.135336,F
166,0.397303,-0.139102,-3.210528,-1.16417,-1.168333,-0.715034,0.283258,0.556038,0.304959,0.55991,A
167,-0.111078,-0.080316,0.732346,1.23725,0.708405,-1.653662,-1.487482,-1.808958,-1.07703,-0.573209,Y
168,-0.008789,-0.447913,0.506914,-2.243456,0.073942,2.843335,0.157458,-0.585676,-0.861374,3.091705,D
169,-0.275165,-0.037474,0.427378,-1.175105,0.241247,-0.701691,0.327048,0.83934,0.189644,-0.653778,E
170,0.089121,0.369138,0.154181,-0.39592,0.26061,0.25994,0.61015,-0.348726,0.453853,0.220488,A
171,-0.270288,-0.352573,0.458985,0.621456,0.448432,-0.355455,-1.270191,1.713467,2.523176,0.727631,X
172,0.818632,-0.142279,0.126488,1.054628,0.959629,-0.551928,-0.963624,0.838516,1.937978,0.222081,I
173,0.01983,-0.54842,0.410987,1.533256,0.149613,2.024832,0.548227,-0.063839,-0.000308,2.128899,X
174,-0.046167,-0.353256,0.333836,-0.273165,0.240205,-0.105513,0.252326,-0.647964,-0.580427,-0.563453,G
175,-0.24723,-0.324511,0.218654,-0.097667,0.249788,2.254994,0.517455,-1.493308,-0.789226,1.442441,E
176,-0.227243,0.090747,0.374395,0.912391,0.185291,-0.189342,-0.007124,1.339233,0.790083,0.07126,E
177,0.004275,0.68082,0.41913,-0.182342,0.261718,-0.14194,0.681569,-0.628054,-0.033502,-0.240461,G
178,0.564019,0.012028,-3.197369,-2.833433,0.25528,-0.100584,0.240488,0.560469,0.419237,-0.269112,A
179,-0.311635,0.09001,0.375351,-0.069971,-1.647372,0.225962,0.211673,0.488763,-0.545449,0.203856,E
180,0.163505,-0.031356,0.380217,1.202555,0.261718,0.258426,0.566188,0.48329,-0.284699,-0.064511,A
181,0.101386,0.040361,0.17791,1.208965,0.240472,-0.683232,-0.141999,0.609587,0.262908,-0.082235,A
182,-0.204196,-0.049578,0.592699,-1.586149,-0.365024,-0.571618,-2.703946,0.808693,1.490443,-2.539942,F
183,0.439128,0.095203,-0.058151,-0.922004,0.228991,-0.815509,0.298818,-1.748314,-0.529272,-0.368375,F
184,0.630573,-0.15391,-3.061139,0.472272,1.045769,-0.732916,-1.827879,1.812086,2.191527,0.1364,I
185,-0.293151,0.374554,-0.069552,0.895766,0.260676,0.843474,0.330078,0.632123,0.126074,0.680812,F
186,0.218707,0.381436,0.148888,-0.262374,0.257435,-0.40825,0.271011,-0.354592,0.181673,-0.232351,A
187,0.07137,-0.194991,0.023942,0.943886,0.176481,1.804008,0.652407,-0.706787,-0.663059,1.839439,F
188,-0.040807,-0.061258,0.141037,1.350108,0.255663,0.860916,0.5369,-0.209084,-0.212162,0.58265,A
189,0.346604,0.031216,0.321737,-1.003263,0.261718,0.46705,1.344498,-1.458728,-0.661203,0.684214,F
190,0.253468,0.614736,0.010353,0.179309,0.261718,-0.851445,0.606817,1.166434,0.78131,-1.144149,G
191,3.265629,-0.251983,0.125378,-2.12386,0.976743,-0.599753,-1.106089,1.481187,1.094485,-0.282513,I
192,0.075417,0.296661,0.110103,-0.053188,0.255292,1.560974,0.778846,-0.661471,-0.556036,1.39608,A
193,0.336471,0.336573,-0.020095,-0.568116,0.013982,-0.128662,0.558218,-0.288342,0.343828,-0.107608,D
194,0.136605,-0.096437,0.2948,-0.640547,0.256811,0.33946,-0.081195,-1.778803,-1.862566,0.083307,H
195,0.218796,0.093055,0.093551,0.036712,0.176735,-0.566566,0.871366,0.642451,-0.247072,-0.881356,F
196,-0.176047,-0.046669,0.078909,-1.243239,-0.185236,-0.597203,0.597461,2.107055,0.910029,-0.738899,E
197,4.527955,-0.181099,0.201797,-2.522111,-0.900198,0.112547,-0.061819,-0.425512,-2.145924,-0.075167,F
198,-0.034008,-0.457132,0.504841,-1.88685,0.068883,2.295221,0.121206,-1.226724,-2.670509,4.659837,C
199,-0.029781,0.239879,0.48465,1.316687,0.171532,1.598669,0.36782,0.775147,1.951916,0.822305,X
200,0.539146,-0.329149,-0.072821,1.359385,0.976743,0.086327,-1.031572,0.77658,1.275704,-0.005025,I
201,-0.037335,-0.282791,0.104728,1.087583,0.234293,-0.072332,0.100489,1.166764,0.56884,0.375545,A
202,-0.031421,-0.026239,0.119791,0.555444,0.158734,0.456203,0.138236,1.028524,0.127087,0.1616,E
203,-0.305963,-0.385681,0.492209,0.752645,0.72311,1.138412,-1.405049,-0.003514,0.768114,1.343901,Y
204,-0.2331,-0.236879,0.529584,0.936498,0.170307,1.516637,0.629799,0.549785,0.478948,1.397113,E
205,0.217088,-0.297664,0.210305,-0.524936,0.230956,0.316253,0.323125,-0.047776,0.130148,0.132713,F
206,0.016462,-2.336809,0.250695,0.860127,0.158543,1.49865,0.448803,0.171015,0.23372,0.850276,A
207,-3.498799,10.627598,-3.168082,0.097711,-4.922215,-0.412144,-0.121078,0.970495,-1.009611,-0.159596,A
208,0.227184,0.22016,0.358677,-1.310981,0.261718,-0.69629,-0.161785,-0.527457,0.901138,-0.545266,H
209,0.064303,-0.942155,0.197462,-0.053557,0.235496,1.191209,0.138277,-1.942615,-1.048359,1.050642,E
210,-0.00729,0.065454,0.101994,0.933537,0.232054,-0.313427,-2.835318,1.12136,0.154427,-1.448093,A
211,0.387014,0.020537,0.209139,-0.521125,0.955899,-0.932503,-0.57828,-0.784654,0.935242,0.270939,I
212,0.167195,0.610667,0.312955,-0.509756,0.261718,-0.807503,-0.030948,-0.169382,-0.009823,-0.69624,F
213,-3.498799,3.726113,0.205344,-1.55317,-4.922215,-0.466401,0.009176,1.117497,0.091434,-0.448064,A
214,-0.073112,0.195905,-3.210528,-0.891471,0.245337,0.162274,0.910326,0.311291,-0.109164,-0.281465,D
215,0.041027,-0.068335,0.296641,-2.203378,0.259905,-1.313708,0.106275,-2.848522,-0.121677,-1.339111,H
216,-0.063256,-0.198435,0.394849,-0.890612,0.25254,0.320865,-0.102075,-2.309375,-1.853958,0.205052,H
217,-3.498799,-0.731077,0.486325,-5.427851,-4.915495,1.321869,0.386288,-0.18915,-0.575295,0.26449,A
218,-0.276717,0.27905,0.122264,-0.071046,0.261718,-0.508404,0.122412,-0.042948,0.411976,-0.870413,E
219,0.283269,0.088389,0.115384,1.415139,0.083738,0.031237,-0.14337,0.490624,0.170978,0.321094,A
220,0.03328,0.225259,-0.011975,-0.609574,-1.088458,0.963061,0.632524,-1.161963,0.627256,0.718499,A
221,-0.162819,0.026775,0.110512,0.2649,0.242465,-0.615642,0.301017,-0.244298,-1.003527,-0.608059,A
222,0.434041,-0.175748,0.207699,-1.19378,0.23806,0.053198,0.212925,0.506477,-0.077247,0.03474,A
223,0.167334,-0.360129,0.208082,0.238258,0.261718,-0.36933,0.152749,0.592667,0.081667,-0.11599,A
224,0.269696,-0.014648,0.303581,-0.719626,0.261718,-0.563488,0.128622,-0.982114,-0.012482,-0.566547,A
225,-0.030013,-0.969173,0.355837,-0.127898,0.252569,-0.139218,0.346388,-0.476486,0.02765,-0.091718,A
226,0.197049,-0.119994,0.302215,-0.904867,0.251153,-1.109969,0.139368,-0.010398,0.296161,-0.861373,G
227,0.246737,-0.413783,0.314027,0.24822,0.253688,-0.578229,0.373344,-0.412149,-0.730092,-0.939804,G
228,0.002255,-0.354768,0.406507,1.035082,0.078798,1.64062,0.491661,0.129683,-0.153798,1.120107,A
229,0.138671,-0.379503,0.173836,-0.281057,0.264782,-0.827397,0.068805,0.553623,0.156484,-0.692634,E
230,-0.207547,-0.152535,0.695837,0.953523,0.625425,-0.547778,-2.022819,0.971087,0.901295,-0.384758,X
231,0.033666,-0.092717,0.50688,-0.195645,0.178572,1.182809,0.01682,-0.256736,0.101606,0.817047,G
232,0.004805,0.63439,0.008385,1.022397,0.228687,0.462356,0.911734,1.054683,0.436398,0.040159,A
233,-0.09789,-0.22577,0.55575,1.122764,0.733109,-1.639925,-1.359129,-1.783165,-2.952262,-1.125905,Y
234,-0.236871,-0.165893,0.138298,-0.181264,0.234228,-0.135287,-0.015118,-0.225976,0.446622,-0.122292,E
235,0.134316,0.056114,0.19639,0.94495,0.261718,0.293533,0.336936,0.881863,-0.221093,1.006946,A
236,-0.159701,0.040935,0.259018,0.672648,0.088574,0.807735,0.444772,-0.058435,0.310715,0.781763,F
237,0.210533,-0.278933,0.285626,0.491754,0.261718,0.305632,0.043491,0.551571,-0.045236,0.40714,A
238,-0.641141,-0.47464,0.297665,1.883196,0.17234,1.613807,-0.147628,0.38841,1.328339,1.566207,Y
