Color,fixed acidity2,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
White,8.1,0.24,0.28,15.42,0.054,56.0,194.0,0.992489,3.04,0.46,10.5,5
White,5.3,0.34,0.42,9.95,0.041,18.0,118.0,0.991503,3.02,0.39,9.4,5
White,7.1,0.21,0.04,1.8,0.045,45.0,53.0,0.99939,3.34,0.53,12.1,6
Red,7.7,0.64,0.23,4.56,0.093,16.0,99.0,0.998088,3.08,0.5,9.2,5
White,7.7,0.41,0.13,1.61,0.047,15.0,154.0,0.992665,3.26,0.27,10.0,6
White,6.6,0.43,0.4,8.23,0.056,61.0,115.0,0.99936,3.15,0.51,9.6,6
White,6.8,0.24,0.29,11.85,0.036,60.0,116.0,0.995629,3.19,0.4,10.9,6
White,6.8,0.32,0.28,14.8,0.051,19.0,113.0,0.997299,3.02,0.57,10.5,7
White,7.2,0.4,0.62,11.75,0.049,70.0,221.0,0.996437,3.08,0.6,9.6,5
Red,6.9,0.24,0.06,2.26,0.093,7.0,9.0,0.995308,3.53,0.47,9.7,5
White,6.8,0.23,0.34,7.42,0.044,45.0,130.0,0.995425,2.93,0.48,9.5,6
White,6.5,0.36,0.36,4.6,0.038,40.0,109.0,0.992173,2.99,0.34,11.3,6
White,6.6,0.31,0.23,7.5,0.04,30.0,165.0,0.996705,3.0,0.45,8.6,5
White,6.5,0.18,0.3,15.49,0.052,55.0,168.0,0.994225,3.12,0.39,9.9,7
White,7.1,0.34,0.62,8.23,0.056,23.0,126.0,0.996618,3.16,0.45,8.7,5
White,6.7,0.23,0.35,7.8,0.044,45.0,138.0,0.994121,3.19,0.55,10.3,6
Red,8.8,0.74,0.32,15.69,0.053,40.0,161.0,0.998345,3.06,0.53,9.1,6
White,7.2,0.42,0.29,2.25,0.098,12.0,63.0,0.999787,3.22,0.53,10.3,4
Red,5.5,0.64,0.22,2.26,0.031,89.0,10.0,0.996345,3.32,0.62,9.2,4
White,6.7,0.37,0.31,7.81,0.076,40.0,73.0,0.991362,3.1,0.76,11.1,6
White,6.8,0.22,0.29,4.75,0.037,47.0,173.0,0.994398,3.16,0.6,9.9,6
White,7.1,0.44,0.35,2.3,0.08,20.0,161.0,0.994208,3.08,0.81,9.9,7
White,7.4,0.19,0.31,1.21,0.024,6.0,144.0,0.991786,3.01,0.65,12.8,5
White,6.0,0.35,0.4,1.19,0.043,57.0,124.0,0.989211,3.5,0.4,9.4,5
Red,7.0,0.35,0.07,1.77,0.088,16.0,125.0,0.995402,3.28,0.58,10.1,7
Red,8.0,0.69,0.25,3.25,0.093,10.0,13.0,0.996765,3.31,0.57,10.3,5
Red,7.7,0.49,0.2,2.19,0.094,17.0,124.0,0.997659,3.31,0.46,9.3,5
White,7.4,0.18,0.25,14.62,0.054,35.0,146.0,0.996181,3.42,0.51,10.5,6
White,7.8,0.35,0.64,2.1,0.172,32.0,126.0,0.997792,3.39,0.42,8.8,6
White,5.7,0.22,0.27,5.66,0.059,44.0,106.0,0.995099,3.21,0.41,9.9,6
White,7.0,0.31,0.42,13.6,0.057,53.0,82.0,0.998619,3.18,0.54,9.2,6
White,6.3,0.41,0.32,1.13,0.044,13.0,91.0,0.99187,3.12,0.54,10.4,7
Red,8.2,0.61,0.2,1.96,0.082,30.0,130.0,0.995889,2.97,0.71,9.3,5
White,7.4,0.24,0.37,19.8,0.047,67.0,168.0,0.992826,3.08,0.37,9.0,5
White,6.9,0.3,0.28,10.69,0.053,64.0,98.0,0.996451,3.45,0.59,9.8,6
White,6.1,0.26,0.21,11.52,0.044,60.0,111.0,0.99569,3.37,0.29,10.8,6
White,6.0,0.21,0.2,0.75,0.047,36.0,81.0,0.990697,3.4,0.35,11.0,7
White,8.4,0.62,0.02,1.03,0.05,10.0,132.0,0.9931,2.97,0.55,10.0,5
White,6.6,0.34,0.62,8.16,0.051,56.0,87.0,0.994145,3.15,0.55,10.5,7
Red,6.6,0.59,0.02,1.84,0.052,12.0,22.0,0.995025,3.44,0.58,10.3,6
White,6.6,0.23,0.28,7.71,0.12,36.0,156.0,0.995461,3.12,0.57,12.6,6
White,6.9,0.16,0.31,1.73,0.029,14.0,74.0,0.991764,3.07,0.87,10.8,6
White,5.9,0.28,0.04,6.04,0.061,21.0,102.0,0.996037,3.27,0.4,9.2,6
Red,7.6,0.61,0.42,2.23,0.089,11.0,72.0,0.997612,3.28,0.64,9.5,5
Red,8.1,0.33,0.63,10.49,0.046,35.0,145.0,0.998991,2.97,0.49,8.9,7
White,5.2,0.22,0.29,4.68,0.062,6.0,6.0,0.990622,3.25,0.61,9.8,5
Red,10.0,0.55,0.26,1.61,0.106,12.0,56.0,0.99719,3.39,0.62,11.3,5
Red,7.2,0.67,0.03,2.24,0.079,6.0,19.0,0.996078,3.3,0.58,9.5,6
Red,7.9,0.56,0.06,2.02,0.068,15.0,66.0,0.996648,3.34,0.57,9.5,5
White,7.4,0.15,0.56,1.32,0.093,30.0,155.0,0.994711,3.36,0.52,11.3,5
White,7.6,0.25,0.44,12.97,0.044,31.0,174.0,0.998634,3.14,0.49,11.2,8
White,7.6,0.22,0.28,1.57,0.057,53.0,107.0,0.996183,3.39,0.49,10.3,6
White,6.8,0.34,0.33,2.17,0.034,19.0,48.0,0.990569,3.19,0.51,8.7,5
Red,7.0,0.34,0.16,3.5,0.1,3.0,45.0,0.995495,3.06,0.77,9.5,7
Red,7.0,0.34,0.2,2.03,0.043,15.0,101.0,0.995788,3.41,0.53,10.0,5
White,6.9,0.26,0.26,8.16,0.043,55.0,163.0,0.996413,3.47,0.42,9.1,6
White,6.4,0.34,0.33,1.69,0.033,23.0,11.0,0.9947,3.04,0.75,11.6,5
Red,6.9,0.69,0.01,2.17,0.058,8.0,13.0,0.995412,3.36,0.66,10.1,6
White,6.9,0.14,0.32,2.35,0.043,42.0,132.0,0.992988,3.17,0.44,11.5,6
White,7.3,0.18,0.37,10.79,0.03,34.0,67.0,0.993174,3.1,0.48,11.0,5
White,5.2,0.29,0.26,7.74,0.026,20.0,134.0,0.990599,3.39,0.4,11.5,7
Red,7.8,0.48,0.24,1.64,0.081,19.0,141.0,0.996179,3.35,0.54,10.5,5
White,8.3,0.27,0.27,1.47,0.051,46.0,174.0,0.998368,3.5,0.51,9.8,5
Red,6.6,0.78,0.23,1.9,0.082,6.0,12.0,0.999416,3.34,0.45,12.7,5
White,6.5,0.44,0.37,4.76,0.03,45.0,127.0,0.993771,3.23,0.44,12.7,4
White,6.6,0.18,0.19,4.78,0.046,42.0,99.0,0.990242,3.12,0.34,8.8,7
White,7.7,0.17,0.32,1.89,0.046,35.0,157.0,0.992867,3.35,0.79,10.0,6
White,7.7,0.2,0.2,8.14,0.066,34.0,49.0,0.995098,3.39,0.58,10.4,6
Red,8.2,0.56,0.47,2.17,0.049,5.0,15.0,0.996111,3.14,0.62,11.3,6
White,6.7,0.19,0.35,10.25,0.04,35.0,103.0,0.99404,3.15,0.45,9.0,7
White,6.4,0.35,0.55,17.27,0.032,80.0,170.0,0.99803,3.0,0.49,8.7,5
White,8.9,0.23,0.29,8.07,0.039,34.0,72.0,0.992035,2.94,0.42,11.3,7
White,6.2,0.36,0.23,6.62,0.052,55.0,125.0,0.99627,3.06,0.43,8.6,5
White,6.5,0.32,0.22,1.66,0.028,18.0,210.0,0.988829,3.16,0.36,8.9,6
White,7.1,0.36,0.27,2.47,0.026,49.0,154.0,0.994298,3.18,0.43,9.1,5
White,7.9,0.21,0.3,9.84,0.05,67.0,176.0,0.996464,3.12,0.33,10.1,6
Red,6.8,0.65,0.02,2.05,0.066,16.0,24.0,0.996343,3.47,0.6,11.3,5
Red,7.2,0.34,0.3,1.51,0.026,3.0,214.0,0.993381,3.37,0.63,9.2,4
White,7.8,0.25,0.21,2.65,0.04,32.0,193.0,0.99033,3.42,0.35,11.5,7
Red,10.6,0.29,0.73,2.12,0.07,5.0,21.0,0.99928,3.15,0.72,12.5,6
White,7.0,0.47,0.27,3.97,0.039,37.0,83.0,0.995624,3.34,0.54,9.5,7
White,7.1,0.33,0.25,2.21,0.033,31.0,105.0,0.992854,3.15,0.42,11.0,5
White,7.1,0.25,0.39,1.86,0.046,53.0,214.0,0.996349,2.91,0.52,9.1,6
White,7.2,0.19,0.56,2.52,0.03,45.0,90.0,0.991963,3.27,0.31,8.8,5
White,6.5,0.25,0.26,6.87,0.07,33.0,213.0,0.996388,3.31,0.55,12.6,5
White,7.1,0.28,0.34,2.18,0.054,57.0,207.0,0.996706,3.11,0.5,9.3,5
White,6.1,0.33,0.26,14.85,0.066,31.0,136.0,0.997183,3.17,0.5,9.2,5
White,5.5,0.31,0.19,1.05,0.033,17.0,109.0,0.993809,3.24,0.36,9.0,6
White,6.8,0.21,0.38,8.23,0.053,43.0,190.0,0.99319,3.28,0.46,12.6,6
White,6.6,0.32,0.26,7.74,0.041,14.0,111.0,0.995921,3.17,0.35,9.5,5
White,5.8,0.28,0.29,4.65,0.04,9.0,93.0,0.989655,3.16,0.39,11.2,7
White,7.1,0.48,0.46,1.18,0.026,15.0,186.0,0.99342,3.39,0.5,9.4,6
White,7.6,0.24,0.34,2.18,0.045,57.0,178.0,0.996615,3.04,0.48,9.1,6
White,5.8,0.24,0.29,2.36,0.056,10.0,107.0,0.99562,2.99,0.59,10.5,6
White,6.4,0.28,0.41,2.03,0.047,29.0,146.0,0.99662,3.32,0.42,8.8,5
Red,6.7,0.72,0.07,1.76,0.072,7.0,24.0,0.994343,3.38,0.6,11.0,6
White,7.3,0.19,0.34,15.49,0.057,33.0,199.0,0.998396,3.07,0.75,8.9,6
White,7.1,0.3,0.19,6.66,0.046,35.0,173.0,0.995124,3.2,0.35,9.5,6
White,6.9,0.21,0.37,1.89,0.05,48.0,148.0,0.9994,2.85,0.72,9.9,6
White,6.4,0.31,0.25,2.2,0.05,24.0,97.0,0.988013,3.32,0.71,12.5,7
Red,13.4,0.28,0.47,2.48,0.215,26.0,7.0,0.997224,3.48,0.67,10.0,5
Red,8.7,0.26,0.47,1.98,0.071,11.0,15.0,0.997318,3.19,0.76,9.8,5
Red,8.2,0.41,0.22,12.85,0.094,6.0,136.0,0.997368,3.18,0.54,9.6,5
White,7.7,0.44,0.28,13.14,0.045,20.0,141.0,0.998879,3.13,0.5,12.0,6
White,7.3,0.59,0.27,1.95,0.03,28.0,78.0,0.992303,2.99,0.63,11.4,6
White,7.7,0.27,0.29,5.34,0.025,50.0,173.0,0.997652,3.46,0.5,10.2,5
White,5.9,0.16,0.49,1.9,0.054,25.0,93.0,0.991934,3.29,0.58,11.0,6
White,7.2,0.17,0.4,0.82,0.036,22.0,48.0,0.992973,3.02,0.36,10.2,5
White,7.4,0.23,0.36,12.82,0.053,35.0,185.0,0.998849,3.1,0.76,9.0,6
White,6.5,0.24,0.31,1.39,0.035,42.0,190.0,0.994166,3.18,0.27,10.2,6
Red,7.2,0.57,0.05,2.09,0.077,17.0,22.0,0.997958,3.53,0.55,9.4,5
Red,7.2,0.22,0.41,1.6,0.044,27.0,173.0,0.994713,3.04,0.77,9.5,5
White,6.6,0.31,0.29,8.55,0.051,31.0,135.0,0.998218,2.87,0.52,9.8,6
White,6.6,0.2,0.42,1.32,0.037,24.0,160.0,0.993147,3.02,0.55,10.6,6
Red,10.6,0.24,0.47,1.48,0.066,6.0,24.0,0.998253,3.33,0.9,11.1,6
White,7.2,0.19,0.36,1.07,0.028,16.0,159.0,0.991495,3.13,0.51,10.8,6
White,7.7,0.39,0.22,5.1,0.05,52.0,138.0,0.996286,3.13,0.35,9.2,5
White,8.1,0.29,0.5,8.2,0.056,45.0,199.0,0.995801,3.16,0.51,9.3,6
White,7.5,0.18,0.33,2.67,0.046,25.0,159.0,0.990199,3.43,0.56,11.5,5
White,6.5,0.32,0.48,18.21,0.048,38.0,142.0,0.998228,3.22,0.45,9.2,5
White,7.3,0.22,0.3,3.19,0.053,30.0,161.0,0.992256,3.34,0.45,12.0,6
White,6.5,0.31,0.24,2.2,0.04,20.0,91.0,0.993122,3.27,0.58,10.2,7
White,7.1,0.22,0.4,8.95,0.042,8.0,95.0,0.990978,3.15,0.4,9.8,4
White,6.8,0.2,0.35,11.73,0.047,50.0,140.0,0.995014,3.1,0.57,10.0,7
White,6.6,0.26,0.33,13.01,0.037,30.0,113.0,0.994027,2.97,0.54,10.9,6
Red,7.9,0.6,0.0,2.02,0.09,20.0,25.0,0.997213,3.66,0.56,9.8,5
White,6.9,0.11,0.3,5.67,0.046,20.0,107.0,0.993808,3.06,0.38,10.0,8
White,6.2,0.28,0.28,15.6,0.051,37.0,170.0,0.999424,3.26,0.43,10.1,5
White,6.9,0.38,0.19,7.6,0.034,33.0,219.0,0.99728,2.98,0.55,9.8,5
Red,7.1,0.36,0.42,1.82,0.12,15.0,39.0,0.997683,3.25,0.85,12.0,5
White,6.9,0.16,0.67,7.71,0.033,24.0,90.0,0.991932,3.17,0.54,11.6,5
White,7.6,0.36,0.45,3.51,0.039,10.0,76.0,0.991478,3.03,0.56,11.0,5
White,6.2,0.37,0.29,1.85,0.021,40.0,132.0,0.990729,3.33,0.48,9.1,5
Red,7.4,0.63,0.02,1.95,0.08,16.0,26.0,0.997546,3.47,0.7,9.3,7
Red,6.9,0.73,0.27,2.14,0.075,14.0,18.0,0.997328,3.29,0.6,9.6,6
White,7.2,0.12,0.21,2.23,0.057,29.0,118.0,0.991317,3.29,0.43,10.1,5
White,5.8,0.25,0.49,5.79,0.038,35.0,98.0,0.990514,3.21,0.42,12.6,5
White,6.1,0.28,0.4,6.77,0.037,72.0,169.0,0.994797,3.39,0.56,12.7,4
White,6.5,0.17,0.3,8.54,0.047,23.0,123.0,0.994029,3.34,0.41,10.8,5
White,7.1,0.41,0.36,3.55,0.08,22.0,114.0,0.990402,3.14,0.49,12.6,6
White,7.7,0.25,0.28,1.54,0.045,31.0,114.0,0.993136,3.27,0.64,10.8,6
Red,7.6,0.67,0.23,1.99,0.106,10.0,89.0,0.99871,3.05,0.61,9.3,5
White,7.8,0.41,0.3,1.49,0.463,28.0,68.0,0.997272,3.53,0.66,9.5,6
Red,6.5,0.84,0.01,1.57,0.067,12.0,31.0,0.995563,3.4,0.63,10.9,6
White,6.4,0.13,0.28,7.68,0.026,33.0,129.0,0.994984,3.06,0.39,10.7,7
Red,6.1,0.6,0.05,2.35,0.028,7.0,33.0,0.994927,3.51,0.57,11.5,5
White,8.1,0.26,0.27,3.66,0.037,61.0,208.0,0.993722,3.19,0.47,9.6,5
White,6.7,0.28,0.34,7.59,0.032,37.0,124.0,0.992667,3.17,0.44,12.1,6
Red,6.9,0.31,0.45,2.08,0.078,12.0,43.0,0.99551,3.33,0.66,11.8,5
White,6.0,0.22,0.28,2.22,0.035,30.0,97.0,0.990415,3.16,0.38,12.4,6
White,5.0,0.29,0.48,1.22,0.036,40.0,74.0,0.99322,3.31,0.4,11.5,5
Red,6.4,0.18,0.2,1.88,0.058,25.0,60.0,0.995536,3.18,0.62,9.8,5
White,8.4,0.25,0.3,2.07,0.028,36.0,104.0,0.990026,3.01,0.62,11.7,6
White,5.9,0.3,0.33,1.19,0.042,29.0,111.0,0.992618,3.46,0.6,8.8,6
White,6.4,0.26,0.24,1.73,0.034,13.0,133.0,0.992881,3.15,0.47,11.0,5
White,6.8,0.23,0.44,7.03,0.044,55.0,182.0,0.995756,3.2,0.48,9.5,6
White,5.6,0.15,0.0,1.27,0.038,22.0,99.0,0.993659,3.34,0.43,9.4,5
White,6.3,0.34,0.33,2.02,0.085,35.0,120.0,0.988683,3.38,0.44,12.9,5
Red,6.1,0.14,0.27,1.83,0.024,23.0,58.0,0.995655,3.42,0.58,10.8,6
White,6.8,0.24,0.31,8.41,0.032,28.0,89.0,0.990257,3.0,0.32,11.9,7
White,6.5,0.78,0.38,1.04,0.047,13.0,85.0,0.992985,3.16,0.52,11.5,7
White,6.7,0.16,0.67,13.43,0.032,38.0,167.0,0.995775,3.23,0.56,10.2,5
Red,8.1,0.32,0.23,12.79,0.062,22.0,77.0,0.997555,3.0,0.49,9.1,5
White,5.5,0.22,0.4,7.11,0.028,42.0,96.0,0.991582,2.9,0.38,12.5,6
Red,6.7,0.61,0.07,1.87,0.081,11.0,33.0,0.997169,3.42,0.82,10.2,6
White,6.3,0.33,0.25,7.37,0.049,22.0,122.0,0.991387,3.25,0.63,11.2,6
White,5.9,0.26,0.27,3.0,0.025,9.0,75.0,0.992666,3.27,0.48,10.9,5
Red,7.0,0.57,0.08,1.87,0.081,24.0,61.0,0.995085,3.39,0.51,10.4,6
White,7.7,0.2,0.36,1.97,0.039,47.0,117.0,0.996792,3.21,0.59,10.0,7
Red,6.6,0.11,0.6,2.65,0.112,9.0,81.0,0.996817,3.17,0.38,9.1,5
White,7.9,0.22,0.39,8.07,0.039,52.0,139.0,0.991189,3.25,0.49,10.9,7
Red,8.2,0.39,0.47,1.91,0.116,19.0,19.0,0.997763,3.24,0.8,9.4,6
White,7.4,0.29,0.21,8.51,0.042,30.0,156.0,0.995535,3.26,0.36,10.2,5
White,8.2,0.26,0.35,1.96,0.046,20.0,88.0,0.995845,3.11,0.47,9.2,5
White,6.4,0.19,0.34,1.27,0.036,49.0,99.0,0.991863,3.19,0.51,11.8,5
White,5.7,0.35,0.17,1.09,0.045,12.0,109.0,0.996031,3.13,0.55,8.9,6
White,5.5,0.16,0.22,5.06,0.051,41.0,176.0,0.993949,3.25,0.38,8.0,5
Red,7.5,0.4,0.37,5.95,0.076,23.0,157.0,0.991351,3.2,0.53,11.0,7
White,7.4,0.16,0.47,1.99,0.042,46.0,188.0,0.996679,3.27,0.41,12.0,7
White,6.0,0.28,0.32,6.5,0.033,12.0,99.0,0.992401,3.21,0.41,12.7,7
Red,6.8,0.54,0.09,1.81,0.093,16.0,45.0,0.996386,3.38,0.58,10.4,5
White,9.8,0.27,0.37,1.08,0.024,73.0,100.0,0.992295,3.18,0.38,12.0,5
White,7.5,0.22,0.2,1.49,0.026,29.0,139.0,0.991102,3.28,0.53,11.8,5
White,6.5,0.22,0.49,12.52,0.046,47.0,186.0,0.995856,3.2,0.27,9.5,6
White,7.3,0.26,0.18,1.35,0.046,60.0,169.0,0.993116,3.14,0.56,10.6,6
Red,8.9,0.41,0.42,3.26,0.067,17.0,19.0,0.998063,3.19,0.63,9.5,5
White,6.3,0.35,0.46,3.82,0.045,8.0,195.0,0.994105,3.52,0.53,9.6,6
White,7.0,0.15,0.3,15.18,0.051,25.0,168.0,0.998184,2.9,0.39,9.2,5
Red,7.5,0.91,0.19,1.91,0.037,22.0,39.0,0.991314,3.58,0.53,9.8,7
Red,6.8,0.41,0.0,1.59,0.078,28.0,27.0,0.996043,3.42,0.59,9.3,5
White,5.6,0.22,0.27,1.92,0.031,48.0,193.0,0.990374,3.2,0.35,10.9,6
White,6.8,0.33,0.32,2.08,0.079,17.0,178.0,0.998194,3.14,0.47,9.6,5
White,6.3,0.26,0.37,1.24,0.053,12.0,127.0,0.989692,3.18,0.29,9.0,7
White,7.0,0.24,0.31,3.75,0.014,40.0,105.0,0.989564,3.05,0.6,12.5,6
Red,4.6,0.54,0.29,2.54,0.167,69.0,148.0,0.989643,3.34,0.36,9.2,6
White,6.4,0.3,0.12,2.35,0.061,29.0,104.0,0.995871,3.18,0.4,9.1,7
White,5.8,0.28,0.33,7.77,0.052,12.0,91.0,0.996588,2.96,0.98,8.9,6
Red,7.9,0.56,0.13,1.67,0.082,11.0,65.0,0.996792,3.1,0.61,9.2,5
