Color,fixed acidity2,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
White,5.6,0.39,0.3,2.5,0.034,38.0,110.0,0.99121,3.28,0.48,12.55,6
White,6.6,0.15,0.31,1.0,0.028,17.0,62.0,0.9907,3.31,0.45,11.0,8
White,5.5,0.34,0.27,1.2,0.032,39.0,118.0,0.98815,3.39,0.38,12.1,6
Red,7.6,0.7,0.08,1.9,0.078,9.0,34.0,0.9965,3.33,0.59,10.2,5
White,6.8,0.36,0.28,10.2,0.045,54.0,129.0,0.9972,3.0,0.46,10.0,6
Red,9.0,0.57,0.28,1.8,0.059,26.0,40.0,0.99474,3.49,0.72,11.4,7
White,5.9,0.36,0.35,4.8,0.036,36.0,104.0,0.9894,3.37,0.5,13.9,8
White,5.8,0.39,0.26,3.2,0.039,47.0,159.0,0.99194,3.28,0.6,11.0,7
White,6.0,0.18,0.3,7.1,0.053,31.0,113.0,0.99348,3.19,0.48,10.1,6
Red,7.3,1.015,0.12,2.5,0.166,12.0,84.0,0.9978,3.28,0.52,9.3,5
White,7.8,0.34,0.32,1.6,0.029,33.0,99.0,0.99174,3.12,0.58,12.5,8
Red,11.6,0.61,0.49,5.2,0.109,10.0,42.0,1.0002,3.2,0.26,9.5,5
White,6.6,0.26,0.28,1.0,0.025,20.0,83.0,0.98854,3.1,0.37,12.5,6
White,6.5,0.23,0.17,8.0,0.039,32.0,111.0,0.9929,3.09,0.5,10.3,6
White,6.4,0.22,0.53,4.9,0.049,51.0,136.0,0.99583,3.33,0.44,10.2,7
White,6.7,0.15,0.27,1.0,0.039,20.0,151.0,0.9915,3.22,0.26,11.0,6
White,5.6,0.22,0.32,5.9,0.028,16.0,90.0,0.99281,3.32,0.5,9.5,5
White,7.0,0.19,0.34,1.1,0.043,11.0,108.0,0.9929,3.11,0.4,9.9,6
Red,8.5,0.3,0.49,2.9,0.101,34.0,57.0,0.99656,3.34,0.52,9.5,5
White,7.7,0.3,0.39,1.2,0.031,10.0,86.0,0.99161,2.97,0.36,11.3,5
White,7.3,0.21,0.35,10.4,0.057,75.0,172.0,0.9965,3.12,0.43,8.9,6
White,6.7,0.21,0.26,8.1,0.051,46.0,221.0,0.9951,3.12,0.52,10.0,6
Red,7.8,0.965,0.3,2.6,0.089,5.0,82.0,0.99746,3.38,0.67,9.2,5
White,6.1,0.15,0.28,5.4,0.044,27.0,73.0,0.9924,3.16,0.47,10.0,6
White,7.6,0.17,0.28,13.9,0.05,44.0,227.0,0.997,3.08,0.57,9.8,7
White,7.5,0.28,0.31,6.2,0.031,44.0,209.0,0.99476,3.43,0.68,10.5,7
Red,8.7,0.21,0.41,6.7,0.062,7.0,25.0,0.99504,3.24,0.58,12.3,6
White,7.9,0.35,0.36,11.2,0.06,16.0,144.0,0.9979,3.13,0.42,9.6,5
Red,6.8,0.785,0.2,2.1,0.078,5.0,20.0,0.9965,3.39,0.54,10.5,4
Red,6.4,0.5,0.14,2.4,0.077,30.0,52.0,0.9963,3.52,0.61,10.2,5
White,6.4,0.33,0.36,4.3,0.034,12.0,118.0,0.99,3.06,0.68,12.8,6
White,7.1,0.23,0.4,14.4,0.052,48.0,165.0,0.9979,2.99,0.38,9.1,6
Red,9.5,0.655,0.12,2.0,0.107,39.0,60.0,0.9984,3.34,0.62,10.1,5
Red,5.2,0.49,0.15,1.7,0.059,13.0,45.0,0.99476,3.56,0.56,10.7,5
White,7.2,0.35,0.26,13.0,0.037,45.0,115.0,0.99684,3.24,0.48,10.6,5
White,7.3,0.2,0.29,4.15,0.034,27.0,88.0,0.99026,2.97,0.38,11.3,6
White,6.5,0.21,0.32,1.6,0.033,31.0,90.0,0.98884,2.99,0.67,12.5,6
White,7.3,0.2,0.32,7.4,0.044,40.0,112.0,0.99356,2.99,0.36,11.5,6
White,6.2,0.26,0.44,7.3,0.044,48.0,200.0,0.9957,3.23,0.36,9.5,6
White,6.5,0.32,0.24,1.3,0.045,36.0,176.0,0.9948,3.59,0.47,10.4,6
White,6.5,0.21,0.4,11.5,0.049,57.0,135.0,0.9978,3.28,0.73,9.3,6
Red,10.6,0.54,0.39,2.2,0.069,26.0,30.0,0.99911,3.18,0.87,10.0,6
White,7.5,0.25,0.32,8.3,0.034,38.0,187.0,0.99226,3.01,0.37,11.0,6
Red,8.9,0.53,0.25,2.1,0.089,11.0,24.0,0.9976,3.23,0.51,9.6,5
White,7.1,0.35,0.66,11.8,0.037,42.0,150.0,0.9972,3.13,0.45,9.4,5
White,6.3,0.27,0.31,6.2,0.036,38.0,95.0,0.9901,2.93,0.42,12.4,6
White,6.9,0.23,0.25,14.8,0.062,29.0,198.0,0.99795,3.3,0.41,9.7,6
Red,9.6,0.44,0.41,6.6,0.068,9.0,69.0,0.998,3.24,0.84,10.9,6
Red,6.3,0.75,0.34,1.8,0.078,7.0,14.0,0.99272,3.51,0.64,12.3,4
Red,7.1,0.66,0.05,6.3,0.061,9.0,14.0,0.99646,3.39,0.73,10.5,5
White,5.8,0.32,0.31,12.5,0.038,64.0,156.0,0.99426,3.17,0.5,10.8,6
White,7.1,0.24,0.35,2.0,0.048,41.0,183.0,0.99195,3.35,0.68,11.9,6
Red,6.8,0.98,0.01,1.6,0.166,18.0,47.0,0.99621,3.37,0.56,9.4,5
Red,9.3,0.52,0.49,1.8,0.091,21.0,21.0,0.99577,3.27,0.56,10.6,6
White,6.6,0.11,0.35,1.3,0.036,40.0,106.0,0.9925,3.42,0.88,10.1,7
White,8.0,0.25,0.3,14.0,0.064,35.0,141.0,0.9972,3.17,0.38,9.7,6
White,5.8,0.43,0.23,5.45,0.039,39.5,221.0,0.99461,3.14,0.44,9.5,5
Red,9.7,0.46,0.33,2.4,0.084,9.0,45.0,0.9966,3.23,0.62,11.2,6
White,7.2,0.21,0.35,1.3,0.033,30.0,81.0,0.99002,2.93,0.47,12.0,5
Red,7.5,0.58,0.07,2.2,0.09,10.0,11.0,0.99554,3.38,0.62,10.9,6
White,6.6,0.2,0.43,1.5,0.031,26.0,101.0,0.99099,3.25,0.5,11.7,7
Red,6.6,0.3,0.15,2.0,0.073,15.0,26.0,0.99459,3.35,0.62,12.5,7
Red,11.0,0.46,0.56,4.6,0.073,22.0,42.0,0.9987,3.28,0.59,9.6,6
White,6.6,0.11,0.81,1.4,0.047,24.0,133.0,0.9936,3.35,0.55,10.5,6
White,6.4,0.52,0.26,3.1,0.034,30.0,148.0,0.99086,3.37,0.43,12.7,6
White,5.3,0.265,0.27,9.7,0.043,33.0,114.0,0.99214,3.01,0.38,10.5,6
White,7.8,0.16,0.28,5.5,0.035,30.0,99.0,0.9918,3.06,0.38,11.1,8
Red,9.7,0.53,0.48,6.0,0.061,6.0,38.0,0.99987,3.34,0.62,9.4,5
Red,8.5,0.27,0.39,2.9,0.079,20.0,30.0,0.99526,3.3,0.73,11.4,6
White,6.0,0.22,0.46,1.1,0.27,74.0,140.0,0.9922,3.25,0.34,10.2,6
White,6.7,0.22,0.26,15.4,0.043,61.0,136.0,0.99944,3.27,0.38,8.8,6
White,8.6,0.26,0.33,4.9,0.036,26.0,134.0,0.9951,3.15,0.38,10.8,6
White,6.3,0.32,0.17,15.2,0.048,57.0,187.0,0.99801,3.2,0.49,9.4,5
White,5.7,0.17,0.25,2.5,0.098,33.0,134.0,0.99394,3.41,0.44,10.1,6
Red,9.4,0.28,0.44,1.5,0.072,6.0,19.0,0.9962,3.2,0.55,10.4,5
Red,7.6,0.49,0.16,2.0,0.087,21.0,95.0,0.9973,3.39,0.58,9.5,5
White,5.9,0.2,0.55,10.4,0.036,45.0,155.0,0.9954,3.02,0.36,8.8,5
White,6.0,0.25,0.55,3.0,0.063,27.0,131.0,0.99271,3.11,0.55,10.9,5
White,6.6,0.29,0.34,8.5,0.036,33.0,110.0,0.99684,3.08,0.56,10.3,6
White,7.6,0.27,0.89,9.2,0.039,50.0,157.0,0.9965,3.06,0.43,9.0,5
Red,7.4,0.43,0.2,1.6,0.071,23.0,41.0,0.99678,3.39,0.59,9.9,6
White,6.9,0.39,0.49,6.2,0.031,50.0,128.0,0.9918,3.17,0.58,11.1,7
Red,8.3,0.68,0.14,1.9,0.073,3.0,13.0,0.99556,3.28,0.49,10.1,6
White,8.0,0.2,0.28,14.5,0.047,47.0,234.0,0.998,3.0,0.53,9.0,6
Red,7.2,0.56,0.08,1.7,0.064,9.0,26.0,0.99632,3.26,0.46,9.8,5
White,6.1,0.36,0.62,1.2,0.043,24.0,181.0,0.9922,3.12,0.47,10.5,4
White,6.6,0.18,0.55,1.8,0.056,27.0,178.0,0.99287,3.38,0.51,10.7,6
White,6.5,0.3,0.24,4.65,0.038,33.0,171.0,0.99574,3.22,0.42,9.2,5
White,7.9,0.25,0.44,1.6,0.028,4.0,30.0,0.9913,3.27,0.56,12.3,6
White,6.2,0.38,0.22,6.8,0.034,13.0,81.0,0.99463,3.18,0.37,9.7,4
White,7.9,0.41,0.24,2.9,0.022,37.0,107.0,0.9914,2.99,0.46,10.8,5
White,6.8,0.3,0.28,9.8,0.049,60.0,161.0,0.99543,3.17,0.61,10.0,6
White,6.9,0.43,0.27,4.0,0.024,39.0,115.0,0.99063,3.03,0.38,12.4,7
White,6.9,0.31,0.41,18.5,0.061,49.0,222.0,0.9992,3.2,0.41,9.1,5
White,9.0,0.37,0.78,19.5,0.039,42.0,211.0,1.0001,2.96,0.81,8.8,5
White,6.8,0.36,0.38,1.2,0.042,21.0,63.0,0.99087,3.06,0.35,11.3,6
Red,9.9,0.61,0.25,2.8,0.085,21.0,144.0,0.9964,3.26,0.59,10.0,5
White,8.0,0.35,0.25,1.3,0.061,52.0,129.0,0.99299,3.01,0.54,10.4,6
White,9.3,0.26,0.43,2.1,0.083,40.0,177.0,0.9939,2.89,0.46,9.8,5
White,6.4,0.38,0.32,4.3,0.061,39.0,213.0,0.9944,3.39,0.76,9.9,6
White,6.9,0.41,0.35,1.7,0.031,7.0,29.0,0.9907,3.35,0.56,11.7,6
Red,7.9,0.58,0.22,2.8,0.077,6.0,24.0,0.9978,3.28,0.7,11.7,6
Red,6.3,0.59,0.4,2.1,0.056,5.0,24.0,0.99661,3.54,0.66,10.5,6
White,7.4,0.33,0.2,5.65,0.03,39.0,170.0,0.9902,2.95,0.37,13.2,7
White,6.8,0.31,0.29,7.8,0.046,20.0,92.0,0.99436,3.11,0.38,11.4,6
Red,13.0,0.48,0.6,2.1,0.118,12.0,29.0,1.0008,3.06,0.66,9.7,5
Red,6.9,0.47,0.64,4.5,0.074,7.0,27.0,0.99567,3.3,0.79,13.2,7
Red,7.9,0.39,0.35,2.0,0.074,35.0,121.0,0.9973,3.18,0.62,9.3,5
White,8.0,0.31,0.35,1.75,0.069,18.0,97.0,0.99592,3.3,0.57,10.5,4
White,6.3,0.18,0.41,1.1,0.034,23.0,149.0,0.98989,3.0,0.35,12.0,7
White,6.6,0.32,0.45,7.3,0.062,49.0,199.0,0.9986,3.18,0.5,9.2,5
White,7.6,0.2,0.74,10.5,0.059,61.0,165.0,0.9968,2.89,0.4,9.5,6
White,5.8,0.205,0.33,1.0,0.033,11.0,111.0,0.99024,3.32,0.52,12.4,6
White,6.4,0.32,0.24,1.3,0.052,8.0,114.0,0.9921,3.04,0.36,8.4,4
White,6.5,0.17,0.54,1.4,0.056,55.0,156.0,0.99553,3.16,0.47,9.5,6
Red,7.0,0.655,0.22,2.0,0.074,33.0,69.0,0.99602,3.32,0.62,9.2,5
White,6.2,0.34,0.35,1.5,0.039,27.0,178.0,0.9936,3.1,0.57,9.5,5
White,7.0,0.28,0.3,4.7,0.055,61.0,222.0,0.995,3.21,0.51,10.0,6
White,7.4,0.18,0.34,6.5,0.041,37.0,183.0,0.99532,3.16,0.41,10.0,6
White,6.1,0.525,0.3,2.5,0.031,7.0,174.0,0.992,3.41,0.43,11.5,3
White,8.3,0.23,0.3,5.1,0.043,21.0,104.0,0.9966,2.99,0.42,9.6,5
White,6.7,0.19,0.27,6.5,0.034,39.0,114.0,0.99278,3.24,0.45,10.9,6
Red,7.0,0.5,0.26,2.2,0.076,17.0,62.0,0.9974,3.45,0.53,10.1,5
White,5.6,0.42,0.3,4.4,0.055,25.0,142.0,0.99144,3.28,0.37,11.9,6
Red,6.6,0.92,0.0,3.7,0.167,8.0,26.0,0.9955,3.39,0.63,10.8,6
White,8.1,0.37,0.87,7.0,0.049,41.0,216.0,0.9956,3.09,0.47,10.6,6
White,6.8,0.18,0.37,12.0,0.053,43.0,149.0,0.99558,3.1,0.38,9.7,7
Red,7.3,0.33,0.32,1.7,0.058,17.0,75.0,0.99462,3.36,0.82,11.5,6
White,7.6,0.2,0.23,7.0,0.067,21.0,120.0,0.994,3.16,0.4,10.1,5
White,7.7,0.26,0.41,15.1,0.049,70.0,221.0,1.0,3.04,0.59,9.1,5
White,6.9,0.14,0.42,1.5,0.036,64.0,135.0,0.99475,3.12,0.36,9.0,7
White,6.5,0.19,0.19,7.9,0.051,31.0,162.0,0.998,3.14,0.5,8.9,5
White,7.2,0.26,0.39,1.0,0.117,10.0,131.0,0.9924,3.17,0.38,9.1,5
White,6.8,0.24,0.32,18.25,0.042,48.0,182.0,0.99958,3.14,0.44,8.7,5
White,5.8,0.41,0.22,4.0,0.05,44.0,108.0,0.9942,3.54,0.52,10.2,5
White,7.3,0.21,0.32,3.5,0.035,38.0,98.0,0.99089,3.16,0.55,11.3,8
Red,8.8,0.8,0.23,2.2,0.116,17.0,11.0,0.9953,3.23,0.65,11.8,6
White,6.0,0.28,0.29,3.6,0.044,46.0,193.0,0.9922,3.19,0.45,10.1,5
White,7.2,0.3,0.36,6.4,0.045,31.0,199.0,0.99374,3.07,0.51,9.7,6
White,7.8,0.2,0.33,1.7,0.039,41.0,140.0,0.9925,3.24,0.67,10.7,6
White,8.2,0.1,0.32,1.1,0.032,40.0,101.0,0.99389,3.17,0.56,10.7,6
White,6.6,0.21,0.44,1.6,0.038,18.0,125.0,0.9911,3.1,0.33,11.9,7
Red,9.4,0.22,0.44,1.8,0.088,20.0,48.0,0.997,2.98,0.58,10.8,5
White,6.4,0.24,0.14,9.1,0.048,20.0,112.0,0.99366,3.15,0.53,9.2,5
Red,7.9,0.54,0.01,1.9,0.058,4.0,13.0,0.99647,3.26,0.62,9.5,5
White,7.3,0.27,0.29,13.45,0.053,40.0,178.0,0.9986,3.0,0.4,9.0,5
White,7.5,0.39,0.26,2.2,0.047,18.0,93.0,0.99,3.05,0.37,11.9,6
Red,7.9,0.33,0.29,2.4,0.075,33.0,70.0,0.9963,3.35,0.78,11.1,6
Red,8.2,0.595,0.15,3.4,0.072,10.0,23.0,1.00075,3.33,0.59,9.1,5
Red,11.3,0.47,0.53,3.6,0.079,17.0,35.0,1.0,3.16,0.81,12.0,7
Red,7.0,0.705,0.0,2.1,0.096,17.0,83.0,0.99948,3.38,0.62,9.7,6
Red,7.2,0.45,0.33,2.1,0.091,12.0,44.0,0.99599,3.48,0.7,11.0,7
White,8.5,0.2,0.26,1.1,0.048,45.0,80.0,0.99294,3.03,0.45,10.5,4
White,5.7,0.29,0.33,11.5,0.028,25.0,128.0,0.99424,3.52,0.41,12.7,8
White,7.4,0.29,0.3,12.15,0.051,33.0,167.0,0.9989,3.42,0.42,9.7,5
White,6.1,0.23,0.29,17.35,0.035,44.0,139.0,0.9972,3.27,0.6,8.8,7
White,7.0,0.14,0.33,1.4,0.035,23.0,97.0,0.9904,3.19,0.64,12.0,6
White,6.9,0.38,0.37,1.5,0.048,34.0,108.0,0.99114,3.29,0.62,12.8,6
White,7.3,0.12,0.42,1.5,0.053,49.0,124.0,0.993,3.06,0.42,9.9,7
White,7.4,0.26,0.25,12.0,0.054,44.0,235.0,0.99806,3.46,0.64,9.7,5
White,7.0,0.23,0.34,7.2,0.046,17.0,154.0,0.99535,3.25,0.6,10.4,5
White,6.5,0.17,0.19,8.8,0.05,41.0,214.0,0.99915,3.4,0.5,9.0,4
White,6.7,0.51,0.32,12.4,0.033,23.0,120.0,0.9956,3.34,0.39,12.2,8
White,6.8,0.34,0.44,11.4,0.042,45.0,113.0,0.99625,3.27,0.59,9.7,6
White,6.3,0.24,0.28,2.9,0.052,62.0,173.0,0.99347,3.19,0.52,9.8,5
White,7.6,0.28,0.45,1.6,0.047,42.0,147.0,0.993,3.06,0.41,10.6,6
White,7.1,0.21,0.39,12.2,0.038,57.0,138.0,0.99532,3.13,0.48,10.4,6
White,6.8,0.42,0.38,2.4,0.054,40.0,156.0,0.9931,3.23,0.43,10.5,5
White,7.6,0.37,0.34,2.0,0.048,24.0,121.0,0.9914,3.29,0.64,12.6,7
White,5.6,0.325,0.12,2.3,0.046,49.0,193.0,0.9931,3.14,0.52,9.5,5
White,6.8,0.2,0.48,1.8,0.031,38.0,140.0,0.9913,3.1,0.39,11.0,6
Red,12.0,0.58,0.44,1.8,0.081,5.0,18.0,0.9987,3.17,0.6,10.2,6
Red,7.8,0.45,0.06,1.8,0.072,7.0,75.0,0.9964,3.37,0.62,9.5,5
Red,11.5,0.45,0.75,2.3,0.109,6.0,42.0,0.9986,3.21,0.95,9.5,6
White,6.4,0.29,0.33,1.2,0.047,20.0,148.0,0.99311,3.23,0.5,9.2,5
Red,5.9,0.51,0.12,1.7,0.087,16.0,44.0,0.99396,3.62,0.63,10.4,6
White,6.3,0.34,0.35,7.8,0.044,60.0,186.0,0.9966,3.08,0.61,9.4,5
White,6.8,0.34,0.22,2.4,0.037,18.0,170.0,0.99475,3.04,0.46,9.8,6
White,6.8,0.24,0.28,10.5,0.033,47.0,115.0,0.9929,3.15,0.56,11.0,7
White,7.4,0.36,0.3,6.6,0.172,62.0,186.0,0.9964,3.03,0.66,8.8,5
White,6.5,0.38,0.3,7.2,0.046,38.0,173.0,0.9958,3.18,0.4,9.3,5
