Company,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,LABEL
10,0.040626,0.280179,0.507688,7.41696,238.066718,,0.019305,8.82173,1.565145,0.573932,0.068403,0.661019,0.008845,-0.144761,-61.862012,0.748018,10.786411,-0.061386,0.094799,13.852867,4.257359,0.024464,-0.062332,0.062095,0.88382,1.018946,-264.535257,-1.791818,4.465576,0.595122,0.045591,749.138843,8.849767,-0.756403,-0.012079,1.792356,,0.559507,0.047873,0.129558,1.918059,-0.011745,82.887447,33.239181,0.128728,4.107304,-15.223461,0.003189,0.026721,0.688485,0.183106,-0.060803,9.304188,9.346943,7147.319495,0.029688,0.204305,0.977641,,15.443708,2.663372,137.03238,6.229996,-2.544884,0.0
11,0.032868,0.28778,0.263809,0.467171,-31.48018,-0.140422,-0.141851,2.270073,1.508283,0.636404,0.002762,0.5143,0.116132,-0.169608,1309.443243,0.689219,3.413338,0.028788,-0.000639,35.939376,3.696028,0.045962,-3.7e-05,0.190548,0.512963,1.080428,-166.76452,10.068258,3.983784,0.636431,0.06988,567.102547,6.723779,0.214863,-0.027404,2.844623,,0.928182,0.024126,-0.797113,1.873238,0.062248,129.587492,126.494863,0.668851,1.201243,75.099696,-0.023414,0.031593,0.389516,0.265557,-0.141806,-1.062062,7.224861,-1193.911694,0.000393,-0.144112,0.988,,12.418517,1.976884,132.636213,4.934409,20.369789,0.0
12,0.092326,0.3493,0.384907,0.547877,-180.421957,,0.370837,2.945689,1.076705,0.759007,0.056844,0.014507,0.201664,-0.10897,3459.665854,1.538772,1.495522,-0.122198,0.052369,0.883103,2.89879,0.128315,0.059312,-0.385589,0.156704,-0.098996,-44.408617,3.161782,3.761967,0.269227,0.101088,992.461459,3.643791,7.342158,0.071669,1.74141,25.854909,0.483276,0.029497,-0.66169,1.962039,0.02216,195.318393,44.13705,8.044811,-0.770683,82.886871,0.01184,0.042934,1.167873,0.205047,0.50798,4.60088,-2.50792,2869.535777,0.071156,-0.314492,0.957653,,75.261993,4.565516,250.153177,8.829791,28.737832,0.0
13,0.056857,0.651121,-0.013043,2.491754,436.738541,-0.273706,-0.194927,4.153325,1.073749,0.517118,0.125402,0.622618,0.016706,0.055427,954.299887,1.196798,1.783776,-0.025168,0.068642,49.177113,4.123595,0.065583,0.06253,-0.034852,0.247241,-0.073307,-213.785841,0.319106,3.749695,0.052494,-0.016686,1889.141744,6.204273,-0.762932,0.08478,2.712503,10.110658,0.569282,0.046826,-0.783541,0.416653,0.019402,163.485403,49.380545,0.751279,-0.689208,91.870158,0.053642,-0.006251,3.489174,0.420458,0.342888,4.426323,-2.266932,-3728.125825,0.05389,0.087579,0.946734,0.318853,7.832174,5.775104,87.965221,5.969611,34.286792,0.0
14,0.108013,0.502752,-0.010352,1.097689,-120.202883,0.229896,-0.197869,-1.110899,1.143315,0.814678,0.20488,1.365044,0.079093,0.155868,2039.755709,0.084558,1.642008,0.114048,-0.002021,1.705027,0.557034,0.170071,0.190837,0.118679,0.303344,0.562999,-79.260346,1.459969,4.672403,-0.02347,0.087136,816.899473,65.101509,7.225864,0.079198,1.080834,43.255729,0.722843,0.11988,0.720293,1.510221,0.144706,81.094933,76.498388,2.004499,-0.620325,5.437554,0.092124,0.068643,0.79711,0.486144,0.294995,-5.363629,1.948392,-574.198204,0.090954,0.699023,0.864596,,32.708352,5.696177,178.168437,4.68072,69.408731,0.0
15,0.095517,0.46686,0.162331,1.504634,522.653136,,-0.180552,2.971605,1.949902,0.501938,0.158904,0.207726,0.024245,0.126672,1203.429779,0.290004,3.251907,0.008302,0.093166,17.029267,1.227966,0.108811,-0.014919,0.044481,0.533406,0.351193,-107.30209,10.046019,3.350613,-0.128752,0.055898,1317.167898,7.87681,0.479986,0.13547,1.547359,7.330788,0.530335,0.03784,0.408777,-0.006427,0.037076,118.400383,35.658168,0.563807,-0.386662,86.976627,0.068403,0.013135,2.140831,0.251911,0.28423,-1.197179,8.303415,16025.190253,0.056103,0.078831,0.950834,0.365858,16.819523,6.965501,42.799919,4.756517,67.127518,0.0
16,0.154145,0.156584,0.335509,4.486524,166.666101,,-0.130416,0.316455,1.621255,0.68898,-0.020136,1.456794,0.095833,-0.027383,-617.141669,0.99932,8.420048,0.002506,0.096274,48.732956,3.85133,0.008734,0.047575,0.173354,0.203265,0.398144,,5.161023,4.23111,0.503531,0.119583,-120.364441,9.124627,8.948779,-0.006184,1.888258,,0.753446,0.018161,-0.899527,0.757424,,262.237014,86.382775,-1.14573,1.933134,37.250941,0.001022,-0.024189,3.019159,0.244672,-0.230608,-2.2058,7.877059,39379.426134,0.483288,-0.323987,0.719819,,17.879779,2.909944,134.322374,11.626544,64.036229,0.0
17,0.18596,0.170832,0.092506,3.315469,-207.592082,,0.265532,2.729036,0.591985,0.849431,0.00155,0.009551,0.349465,-0.108517,-529.570955,0.73983,0.948465,0.174199,0.216155,1.311562,-0.128867,0.251432,0.171992,0.000494,0.43127,0.011832,-162.254541,3.194418,3.63527,0.034028,0.159238,2591.138162,-0.242649,2.618579,0.10702,1.991957,-2.191848,0.987876,0.164081,-1.128271,0.572578,0.242751,86.553313,60.29919,2.000201,2.726603,83.591705,0.172914,0.159281,3.535836,0.323589,-0.253992,0.664614,8.251708,12715.388739,0.192369,0.309493,0.84227,0.084748,230.06035,2.864355,114.753459,4.588222,25.616485,0.0
18,0.120857,0.246519,0.23945,2.492251,45.401147,,0.218547,4.77468,1.165878,0.631505,0.140656,0.966412,0.334422,0.309594,1710.316088,1.358988,1.453007,0.052162,0.230652,42.353881,2.015425,0.130778,0.161238,-0.065811,0.410591,-0.44362,89.494145,6.224546,4.57962,0.393226,0.22978,490.361488,2.535182,4.834028,0.177147,1.133303,35.07831,0.997507,0.205145,-0.403419,0.056015,0.153798,66.240065,40.438334,1.412461,1.157391,14.344814,0.081588,0.156624,2.793573,0.75137,0.493531,-4.968378,1.033858,13835.901454,0.172529,-0.501745,0.885167,0.255166,18.198952,6.413818,59.903528,4.808793,32.943895,0.0
19,-0.049121,0.536798,0.042197,1.118676,-155.356949,-0.01838,-0.118729,1.17573,0.998106,0.271552,0.024675,-0.012229,0.073283,-0.047344,1795.597437,0.772852,3.818641,-0.14091,0.063081,12.380016,0.135922,0.012087,-0.012875,0.222729,0.403957,0.189861,30.538551,0.32768,3.926836,0.190125,-0.012903,599.150669,1.098307,6.573621,-0.004767,2.024183,-2.415557,0.422158,0.018356,-1.311461,0.567944,0.019267,125.710845,62.104396,-0.021155,2.642627,-1.141638,-0.019714,-0.042229,0.189038,0.682154,0.395046,2.981072,10.468898,-736.615353,0.008485,-0.417561,0.996826,,14.296086,5.981575,88.4835,5.305008,20.07869,0.0
20,-0.130522,0.915045,-0.169338,-0.355862,-48.860295,-0.412981,-0.355588,-2.082763,1.019396,0.00593,-0.431268,-1.028352,-0.279105,-0.370942,-969.967483,-0.4554,0.820419,-0.114352,-0.197583,17.158705,1.583006,-0.63252,-0.148254,-0.011415,0.021139,0.715276,-254.510839,5.032886,4.052226,-0.07713,-0.444712,1551.406216,5.070594,-0.189396,-0.092676,2.685687,,0.378233,-0.181682,1.005623,0.509165,-0.246845,46.586886,-2.23935,0.799379,-0.009538,13.022721,-0.265976,-0.14785,0.798067,0.995817,0.460738,2.285398,3.652889,-101499.76855,-0.005364,-38.634643,1.001077,,13.446941,14.727423,140.630983,2.611934,47.912307,1.0
21,,0.807867,0.18241,3.426778,-173.247239,0.526263,0.210939,-0.587475,2.130382,0.359006,0.176141,1.351319,0.076422,0.328301,1898.924672,0.702676,1.504717,0.230137,0.09215,17.554235,2.533989,0.148396,-0.056682,0.146427,0.395487,-0.16923,-190.026874,-1.025945,4.360818,1.14877,-0.00067,1304.517523,6.904713,4.326082,0.23399,2.056823,,0.672921,0.083598,0.460147,2.237763,0.016307,158.56468,75.841577,-1.032924,2.678457,67.649023,0.134794,-0.035701,1.412963,0.550312,0.341944,3.941934,5.301342,6705.989612,0.097852,-0.359183,0.893174,0.100226,12.88699,8.898305,-151.983207,3.304547,10.57997,0.0
22,-0.02034,0.63599,0.049975,3.141421,505.77158,0.086914,-0.045219,-0.43482,2.380093,0.537279,0.040156,1.056095,0.039238,0.071582,19074.389433,1.191483,3.354157,-0.184527,0.008361,31.484003,3.477782,0.05438,0.053435,,0.276178,0.000878,-189.033883,3.368291,5.610995,0.385439,0.048063,1989.670248,5.971589,1.825319,0.074613,1.718268,,0.372562,0.005795,-0.51882,-0.038774,0.054388,132.163136,9.914954,-0.967058,1.653931,17.768739,0.039894,-0.024928,4.004265,0.882961,0.348726,0.202119,2.339037,958.288443,0.031921,-0.014331,0.967065,0.006872,3.047597,9.57493,105.86934,3.417072,71.052369,0.0
23,0.144548,0.270204,0.633256,6.790323,182.301262,,0.163518,3.664276,1.847503,0.661139,0.181184,0.57206,0.005465,0.109805,21.526136,0.345143,2.692411,0.379096,-0.003686,0.663333,2.152276,0.106754,-0.05205,0.756144,0.689081,0.54692,-12.611391,8.143141,3.238164,0.574452,0.035065,2517.511983,5.733829,-0.498606,0.042324,2.159299,,0.586238,0.08924,-1.143738,1.814248,0.015242,127.985397,65.398663,1.893512,3.831884,20.968864,0.118682,0.158137,3.731753,0.226207,0.096303,13.871105,15.517998,2444.409681,0.07493,0.807069,0.963236,,24.051668,8.550253,270.604278,10.402848,34.669743,0.0
24,0.038769,0.140739,0.18011,1.769793,7.718776,0.461548,-0.151389,1.12085,4.656423,0.307874,0.106832,1.113383,0.127475,-0.043476,3507.894497,0.461445,1.442724,-0.171936,0.037845,62.03426,0.450392,0.006555,-0.006807,0.188178,0.456816,0.494994,104.291853,1.362827,4.095968,0.317988,0.234231,494.430949,3.698146,-1.193269,0.039755,0.53144,,0.70113,0.084364,0.125783,-0.210744,0.045785,403.46694,13.674924,-0.967062,0.164594,192.865238,0.011615,0.038445,0.300205,0.408273,0.430945,-0.16014,0.455794,5061.472148,0.019447,-0.39619,1.005756,,-6.787902,7.34177,111.735123,3.827471,27.378093,0.0
25,0.137488,0.544978,0.208709,2.823266,151.40547,,0.315241,-0.457778,1.040411,0.627853,0.206736,0.754595,0.107881,0.252259,364.404772,1.500639,4.757534,-0.01537,-0.050852,13.718477,3.896177,0.210672,0.136288,-0.058039,0.441332,0.820903,-323.618753,8.481873,4.943458,-0.157277,0.020027,122.580828,8.716705,-0.926032,0.187285,1.752158,,0.626912,0.063969,1.142646,0.68409,0.102534,160.211023,52.460806,2.619852,0.655133,79.358197,0.192932,0.086923,1.840029,0.255634,0.365051,-3.352105,9.772059,3326.67715,0.062978,-0.248528,0.958108,0.053064,33.289441,2.871249,244.873859,5.398799,-3.648326,0.0
26,0.072883,0.404288,-0.048238,2.360908,632.953431,0.219651,0.228777,2.944658,1.258982,0.732939,0.183373,-0.060708,0.195526,0.002067,243.409798,1.21196,2.608019,-0.171643,0.216144,47.43494,1.606181,0.089631,0.191621,0.184247,0.565891,0.376827,-26.341668,9.658054,4.931919,1.209273,0.066986,2131.980202,2.6322,1.82915,0.080037,0.762025,,0.597935,0.183957,-0.299798,0.025233,0.164092,77.245223,52.020827,2.48177,0.411633,66.491215,0.115938,0.138657,2.879248,0.321292,0.344774,1.775265,7.530746,-990.128912,0.172311,0.247766,0.8458,0.404514,9.280977,6.384629,105.626285,3.636519,81.739323,0.0
27,0.1156,-0.008122,0.777443,24.291845,131.946834,0.944729,0.238448,13.91219,1.514051,0.827517,0.14267,2.575499,0.142665,0.166256,-520.555593,1.637007,10.466817,0.229705,0.148573,42.748416,3.024093,0.272245,0.12516,0.408419,0.78709,-0.329334,-316.372126,15.528108,3.644073,0.355083,0.235487,409.994679,16.360591,13.045308,0.31401,2.604319,,0.944571,0.103633,1.505867,0.056173,0.190526,124.753056,86.053074,3.857967,5.040163,195.321557,0.218525,0.219738,7.135986,0.181956,0.131156,-3.1402,7.187267,4355.753964,0.182153,0.321413,0.821214,,2768.488215,10.958915,172.035534,36.498601,28.073971,0.0
28,0.006402,0.737652,0.319578,3.48986,618.273329,,-0.199621,-0.828822,1.842876,0.567941,0.105634,-0.989183,0.190318,0.295371,174.385716,3.49771,2.038206,-0.047692,0.228002,31.440498,2.924009,-0.004862,-0.043251,0.607655,0.63194,3.731123,102.629256,-0.910712,3.982563,0.550657,-0.028749,2486.854174,2.093089,-0.527362,-0.009418,3.031236,23.133358,0.692749,0.014601,-0.965547,-0.634831,,217.82979,108.338038,-1.514329,2.390688,193.236659,-0.589613,-0.850192,0.056887,0.077757,-0.11291,-3.77685,-0.16324,2071.532043,-0.056483,0.034582,-0.002492,,12.016188,4.190351,183.163342,13.488817,19.014531,0.0
29,0.461127,0.565938,0.52779,4.752696,604.26264,,0.296297,2.749102,1.52595,0.730221,0.658406,1.147858,0.24165,0.405347,536.528384,2.69152,10.473707,0.620267,0.174124,46.848904,0.977151,0.527038,0.192748,0.995529,0.805883,2.105979,17303.455981,9.789524,4.312132,-0.083515,0.159518,-70.529927,9.740803,5.054206,0.407892,3.171004,249.371004,0.629848,0.217963,-1.12647,0.290345,0.073258,83.71422,91.381787,11.341457,-0.752622,76.906578,0.386948,0.254103,6.457138,0.118077,0.504374,-5.974794,-2.609397,9983.411653,0.172486,0.362822,0.771779,,6.420015,8.38498,-211.471309,13.227185,-3.231332,0.0
30,0.086445,0.440436,0.24669,1.715924,19.704621,0.446757,0.071413,3.980335,1.053325,0.510412,0.065466,0.420325,0.005324,0.275761,938.981181,0.949994,1.174653,0.308406,0.055344,22.591116,3.465976,0.09312,0.043634,0.145842,0.577304,0.634592,40.724263,7.363861,3.925859,0.293414,0.040981,2250.299604,6.222456,1.388396,0.094061,1.154609,53.633898,0.488411,0.08448,-0.709377,-0.49563,0.136555,69.006746,111.646408,4.517314,1.464403,72.699742,0.048546,-0.00592,2.817816,0.514923,0.118401,3.503196,3.037015,-124.596491,0.044924,-0.309664,0.952385,-0.070842,11.740939,2.905433,277.308672,8.496413,11.174063,0.0
31,-0.160262,0.515232,0.187654,-0.147399,311.725747,0.083881,-0.114017,0.504109,0.389041,0.066121,-0.130868,-0.871707,-0.099883,-0.298321,-1713.424295,0.215703,3.689628,0.073672,-0.093174,98.892302,6.262741,-0.124791,-0.183743,-0.135147,0.239426,0.523246,-229.352916,2.944551,4.169396,1.378301,-0.140903,128.17356,-0.151622,0.124143,-0.051698,0.452611,7.452749,0.318983,-0.086035,1.0236,2.161275,-0.043013,629.200678,35.57397,0.213537,2.50797,-1.576201,-0.365465,-0.136706,0.353126,0.705043,0.538257,-2.212893,-1.365493,-1028.569012,-0.069806,-2.12007,1.090383,14.843622,15.25382,5.00265,275.133169,1.986671,84.000323,0.0
32,0.08069,0.794387,0.264813,2.99172,123.479845,-0.266585,-0.073861,3.399327,0.970413,0.266896,0.160438,1.145042,0.057128,-0.190225,2077.960773,0.754641,0.607403,0.365926,-0.021146,21.001635,2.788142,0.078128,0.008264,0.512591,0.55857,0.199817,-236.887461,1.309446,3.810693,0.414429,0.090031,1077.248905,13.209602,2.580064,0.074827,3.430901,17.180716,0.571307,0.052953,0.595073,1.794534,0.026075,66.115067,31.680399,-0.857753,2.049151,1.699878,0.075981,-0.002153,2.522302,0.492778,0.285205,4.330663,7.41172,-942.708396,0.024898,-0.066011,1.002707,,18.282532,7.328331,-172.013783,8.572201,75.108347,0.0
33,0.259988,0.128489,0.623731,-0.068888,-252.376108,0.301359,0.344732,2.917571,1.088142,0.570419,0.150814,0.888556,0.228106,0.168882,443.318698,1.093378,1.330929,0.392698,0.233991,44.755174,0.982526,0.203303,0.191862,0.771668,0.517857,0.801806,100.321381,5.445489,4.022994,0.314299,0.127414,1762.16862,15.095194,4.736967,0.210477,1.529558,,0.767137,0.145991,3.629933,1.65599,0.143728,160.059191,85.771421,34.888227,1.48382,8.905927,0.089075,0.064972,1.920134,0.150669,0.544267,4.24523,,8960.545301,0.112435,0.483289,0.833585,,13.671445,6.855747,109.473056,3.853317,81.381771,0.0
34,0.530608,0.217197,0.648744,3.864323,-42.131172,0.049372,0.801006,3.850334,2.004392,0.831428,0.990727,0.426828,0.554372,0.956986,609.515659,2.623857,5.113405,0.191245,0.378979,19.638895,1.113584,0.551637,0.369666,0.9416,0.764545,2.535597,,12.80532,3.132111,-0.100327,0.365484,569.506147,6.25234,4.024504,0.727297,2.279553,,0.918679,0.27689,-1.153983,2.070526,0.183334,188.240376,108.0428,6.399329,4.664714,-13.451612,0.246826,0.357386,5.999945,0.124782,0.563694,-5.704086,5.054994,1640.63843,0.437006,0.930923,0.639471,,14.565638,12.541583,250.279736,13.302304,28.293938,0.0
35,-0.053338,0.869614,0.100781,0.472433,-191.026348,,-0.05916,0.630742,1.003942,0.323339,0.010397,0.407721,0.027505,-0.124431,7425.212163,0.750067,0.09697,-0.104558,-0.018087,30.288038,4.180249,-0.005638,0.036054,-0.174128,0.572926,-0.310316,21.643473,5.07161,5.054636,0.058488,0.032112,1251.3758,4.405009,0.532858,-0.033233,2.859488,,0.797747,-0.053366,1.146032,0.891476,0.017549,147.554352,113.850026,0.569599,-0.576583,60.749037,-0.065464,0.020586,3.938822,0.064805,0.382276,-5.671301,8.94333,2682.897066,0.013954,-0.339555,1.028393,,34.43703,2.700222,54.376019,7.424135,,0.0
36,-0.056267,0.789947,0.2809,1.878617,646.632274,,0.120955,3.655016,0.987182,0.187213,-0.028087,0.092225,0.762598,-0.060028,37855.181653,1.426441,4.561942,-0.059996,-0.055523,45.505835,2.032779,-0.060254,0.063719,0.102223,0.015556,2.187464,-119.422746,68.309744,4.287702,0.39982,-0.009293,290.24005,,2.002096,0.009445,2.057089,,0.707403,0.012714,-0.829796,0.848387,0.039969,532.355055,131.483622,-1.408916,1.691358,36.541172,-0.078455,-0.909132,1.739503,0.345101,0.467029,0.341107,7.506135,-937.595093,-0.00751,-0.502385,1.033009,,7.009663,2.885439,188.678981,7.390843,23.51241,0.0
37,0.007396,0.259789,0.403655,0.291657,560.785179,0.045978,-0.066501,-3.557659,1.060653,0.703075,0.036937,0.244768,0.022552,-0.141009,1853.223689,0.886028,2.607792,-0.138901,0.095167,65.031879,2.743363,0.042669,-0.067884,0.065157,0.112914,0.2018,-151.458976,-1.872955,4.456079,0.200457,0.051326,1339.282656,3.226109,6.714088,0.039105,1.268505,-3.822695,0.571242,0.039129,-0.875432,1.610201,-0.007053,199.66019,19.661815,-1.576494,2.074606,17.154826,-0.044236,0.027484,1.95768,0.079058,0.44285,-6.949745,5.308047,690.801205,0.002578,0.003477,0.966804,-0.059539,9.215761,4.309061,71.328827,10.602827,45.12867,0.0
38,0.105812,-0.093279,0.368715,3.311933,-0.844146,0.512802,-0.079814,2.073056,1.120973,0.630684,0.127615,0.138763,0.245651,-0.052427,637.92995,1.212097,0.304577,0.122957,-0.054281,43.454407,3.191474,0.090994,0.149836,0.115672,0.333325,2.502531,-104.946742,5.2109,4.446905,0.356391,0.091692,1232.454408,6.979479,4.492909,0.091177,2.011014,43.318715,0.86447,0.085132,0.551919,0.392441,0.130069,118.298386,119.051714,0.13747,2.207169,63.857456,0.012763,-0.027219,4.585139,0.071604,0.553657,-5.855209,-2.713593,13809.279759,0.093071,-0.337783,0.872857,0.397212,2.103438,4.023269,64.516161,6.220424,62.039793,0.0
39,-0.027872,0.724192,-0.062943,2.681691,-210.299194,-0.017068,0.080452,-2.491694,1.775735,0.094271,0.068959,1.226901,0.093447,-0.136856,15726.539047,1.172304,1.402728,-0.121748,-0.02149,75.964864,2.464252,0.045723,-0.006398,0.038205,0.103445,-0.304895,-55.034995,-2.714773,3.643042,0.652407,0.11258,146.634332,6.899713,-1.144215,-0.005441,0.446261,,0.219329,-0.00095,-0.097661,1.046481,-0.039222,110.693675,285.22561,0.384289,3.048469,47.428421,0.009198,-0.00309,0.079503,0.543441,0.190591,2.875615,2.290971,-47990.074401,0.048372,-2.694053,0.997575,,3.435753,1.440687,292.580111,7.065172,2.065375,0.0
